表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,大豐里,1269,1237801,975,652,360,1244,1388.74,142.37
,明德里,1405,1507509,1073,698,390,1299,1375.94,128.24
,中山里,1746,2910377,1667,1034,512,2030,2893.41,173.58
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
和平里,,176,115716,657,505,307,839,580.18,88.24
仁愛里,,713,676241,948,635,357,1129,1339.48,141.23
中正里,,2089,2080947,996,676,389,1278,1080.33,108.45
美潭里,,1665,1474014,885,632,374,1135,1036.95,117.13
德安里,,1783,1355602,760,578,357,954,655.26,86.18
太平里,,998,979819,982,639,372,1141,1933.01,196.89
中央里,,2180,3905751,1792,881,417,1850,11452.02,639.20
百和里,,1140,1101659,966,657,353,1218,1196.30,123.79
福德里,,1261,1136429,901,636,377,1105,1127.23,125.08
福民里,,1423,1547088,1087,712,393,1311,1625.04,149.47
百福里,,1190,1200732,1009,684,391,1245,1090.47,108.07
國豐里,,1161,1084288,934,640,373,1175,987.33,105.72
新德里,,865,736233,851,601,358,1031,922.75,108.41
五峰里,,2630,2904179,1104,664,370,1259,1755.91,159.01
中華里,,1430,1548914,1083,670,388,1267,1443.00,133.22
忠誠里,,899,878209,977,677,381,1215,1059.03,108.41
永安里,,1521,1127588,741,566,351,933,751.14,101.32
新店里,,558,458140,821,593,331,1083,775.98,94.51
大同里,,1424,1659734,1166,675,388,1314,3391.39,290.97
玫瑰里,,1801,1295545,719,548,331,918,649.10,90.23
日興里,,1550,1077215,695,522,331,835,782.35,112.57
寶福里,,2492,3164114,1270,694,399,1379,5674.53,446.92
安和里,,2140,1927368,901,634,383,1122,916.21,101.73
明城里,,1194,1328319,1112,752,414,1363,1358.08,122.07
吉祥里,,1455,1344889,924,642,368,1101,1659.14,179.50
小城里,,1222,1237672,1013,662,377,1213,1220.04,120.46
香坡里,,3219,3300358,1025,688,397,1250,1586.52,154.74
建國里,,1048,1013266,967,652,340,1233,1099.17,113.69
復興里,,1095,941337,860,594,361,1047,895.82,104.21
美城里,,811,717548,885,553,343,912,3751.43,424.00
安昌里,,1624,1499928,924,688,404,1184,890.63,96.43
長春里,,950,1520811,1601,986,463,1850,5273.44,329.41
新和里,,1331,1050139,789,594,357,1005,704.36,89.27
永平里,,1651,1437055,870,646,385,1126,790.23,90.79
